iter	Passed	Remaining
478	1366	148
479	1371	145
480	1373	142
481	1376	139
482	1378	137
483	1381	134
484	1383	131
485	1386	128
486	1389	125
487	1391	122
488	1394	119
489	1396	116
490	1399	114
491	1402	111
492	1404	108
493	1407	105
494	1409	102
495	1412	99
496	1414	96
497	1417	93
498	1419	91
499	1422	88
500	1425	85
501	1427	82
502	1430	79
503	1432	76
504	1435	73
505	1437	71
506	1440	68
507	1443	65
508	1447	62
509	1451	59
510	1454	56
511	1457	54
512	1459	51
513	1462	48
514	1464	45
515	1467	42
516	1471	39
517	1473	36
518	1476	34
519	1478	31
520	1481	28
521	1484	25
522	1486	22
523	1489	19
524	1492	17
525	1495	14
526	1497	11
527	1500	8
528	1503	5
529	1505	2
530	1509	0
