iter	Logloss
0	0.6207349354
1	0.5556651017
2	0.5097741216
3	0.4625258505
4	0.4188838189
5	0.3934666954
6	0.3709211278
7	0.3391587931
8	0.3193668677
9	0.3041335074
10	0.2897003586
11	0.2789491855
12	0.2690067511
13	0.2584000207
14	0.2508819076
15	0.2450003435
16	0.2403707184
17	0.236117054
18	0.2302848193
19	0.2250679944
20	0.2213612472
21	0.2178178767
22	0.214433161
23	0.2123831194
24	0.208415498
25	0.2056245684
26	0.2036704654
27	0.2001999581
28	0.1976479429
29	0.1967296954
30	0.1950831521
31	0.192737501
32	0.1918847204
33	0.1909645627
34	0.1898517637
35	0.1881152723
36	0.1869153217
37	0.1854152689
38	0.1839677393
39	0.1825042557
40	0.1814868299
41	0.1796084477
42	0.1790167551
43	0.1782080164
44	0.177205154
45	0.1765512649
46	0.1752667759
47	0.1744141786
48	0.1738895269
49	0.173160956
50	0.172387518
51	0.1715390621
52	0.1709969128
53	0.1703294994
54	0.1693696856
55	0.168850734
56	0.168436569
57	0.1677199332
58	0.1673706544
59	0.1667267442
60	0.1661326829
61	0.1658351327
62	0.1654222973
63	0.1648944975
64	0.1644796754
65	0.1638203766
66	0.1635194797
67	0.1631227359
68	0.1626929683
69	0.1622653707
70	0.1616829541
71	0.1612025582
72	0.1608167867
73	0.1604267974
74	0.1598462605
75	0.1595161297
76	0.1590591454
77	0.1587778396
78	0.1583586164
79	0.1579857579
80	0.1575199714
81	0.157130196
82	0.1567252612
83	0.1561063672
84	0.1557626968
85	0.1553943464
86	0.155058271
87	0.1546603352
88	0.1545507042
89	0.1542249745
90	0.153796674
91	0.15341619
92	0.1530650009
93	0.1527098845
94	0.1523972666
95	0.1520692141
96	0.1518691
97	0.1514538959
98	0.1510552266
99	0.150828767
100	0.1504224874
101	0.150215191
102	0.1499236465
103	0.1495700582
104	0.149170686
105	0.1488435351
106	0.1485463058
107	0.148218727
108	0.1479867812
109	0.1477500064
110	0.1473218739
111	0.1470091795
112	0.1466984412
113	0.1464314392
114	0.1460984659
115	0.145742509
116	0.1453944222
117	0.1450791758
118	0.1447877382
119	0.1444078043
120	0.1441115989
121	0.1438541479
122	0.1434945081
123	0.1431756858
124	0.1429189683
125	0.1426063045
126	0.1422857247
127	0.1421482199
128	0.1418920831
129	0.1415734442
130	0.1413202873
131	0.140985679
132	0.1407209844
133	0.1405018447
134	0.140110587
135	0.1398019729
136	0.1394583483
137	0.1390854134
138	0.1386176555
139	0.138262264
140	0.1380116745
141	0.1378450733
142	0.1374826828
143	0.1372167963
144	0.1369493052
145	0.1365753464
146	0.1363148544
147	0.1361195847
148	0.135855425
149	0.1355574316
150	0.1353412565
151	0.1349669004
152	0.134761392
