iter	Logloss
153	0.1345590468
154	0.1341720222
155	0.1339623113
156	0.1336878976
157	0.133285469
158	0.1330484649
159	0.1327253331
160	0.1324670263
161	0.1321205899
162	0.1318878342
163	0.1316623067
164	0.131396084
165	0.1311860369
166	0.1309889945
167	0.1306363843
168	0.1303347844
169	0.1300114539
170	0.1296918217
171	0.1294556581
172	0.1292278078
173	0.1290365419
174	0.1286617273
175	0.1283947711
176	0.1279446636
177	0.127792962
178	0.1274832017
179	0.1271122687
180	0.1268743019
181	0.1266126408
182	0.1261754693
183	0.1260570818
184	0.1258077836
185	0.1256466151
186	0.1253560333
187	0.1250412912
188	0.1247156838
189	0.1246086736
190	0.1243681012
191	0.1240084461
192	0.1236022735
193	0.1233736286
194	0.1232040703
195	0.1230593754
196	0.1228129273
197	0.1225842365
198	0.122417811
199	0.1222851122
200	0.1219605669
201	0.1217049726
202	0.1215625929
203	0.1211790984
204	0.1208175942
205	0.1206564944
206	0.1203284572
207	0.1200269337
208	0.1197639813
209	0.11958449
210	0.1193791649
211	0.1191495037
212	0.1191027646
213	0.1187834608
214	0.1185282563
215	0.1182346182
216	0.1179224128
217	0.1176572293
218	0.1174437208
219	0.1173754345
220	0.1169194206
221	0.1166973773
222	0.1164219627
223	0.1161190486
224	0.1158450933
225	0.1157337049
226	0.1154637459
227	0.1152198879
228	0.114816573
229	0.1146849593
230	0.1145137277
231	0.1143902667
232	0.1139205222
233	0.1136538563
234	0.1134236603
235	0.113208616
236	0.1129283953
237	0.1126953033
238	0.1126363159
239	0.1123781238
240	0.1121516564
241	0.1118902016
242	0.1116810943
243	0.1114207704
244	0.1110155223
245	0.1106308816
246	0.1104429853
247	0.1103052818
248	0.1101288927
249	0.1098421008
250	0.1096239085
251	0.1094594544
252	0.1093480354
253	0.1089990699
254	0.1087049199
255	0.1084966913
256	0.1081613723
257	0.1080841844
258	0.1077138627
259	0.1074734202
260	0.1073123204
261	0.1070636946
262	0.1068058616
263	0.1066367694
264	0.1064164377
265	0.1062001174
266	0.1059916902
267	0.1056426406
268	0.1054242955
269	0.1052990619
270	0.1050631275
271	0.1048382801
272	0.1045964317
273	0.1043561803
274	0.104120903
275	0.1038835322
276	0.1036146734
277	0.1032830756
278	0.1030424115
279	0.1028554169
280	0.1026206363
281	0.1023614737
282	0.1020456924
283	0.1018457618
284	0.1016073824
285	0.1014245826
286	0.1011378594
287	0.1010698711
288	0.101001218
289	0.1008350141
290	0.100694132
291	0.1005108126
292	0.1002981217
293	0.1001773962
294	0.1000040023
295	0.09967812742
296	0.09949784907
297	0.09929766629
298	0.09916371444
299	0.09896755839
300	0.09878352838
301	0.09862775425
302	0.09852455685
303	0.09839816946
304	0.09831874276
305	0.09812704897
306	0.09786369924
307	0.09771962326
308	0.09744641682
309	0.09740507979
310	0.09727952524
311	0.0970973214
312	0.09684098597
313	0.09677750574
314	0.0966037756
315	0.0963638298
316	0.09614459837
317	0.09595180429
318	0.09584656679
319	0.09575674853
320	0.09557609577
321	0.09539554235
322	0.09535654342
323	0.0950447583
324	0.0947867266
325	0.09458620762
326	0.0943037099
327	0.09416421079
328	0.09413014786
329	0.09405445754
330	0.093844632
331	0.0936528236
332	0.09348150033
333	0.09326067195
334	0.09311546513
335	0.09285809818
336	0.09281261981
337	0.09269103087
338	0.09251818707
339	0.09222221088
340	0.09216950426
341	0.09195574367
342	0.09186101234
343	0.09178249491
344	0.09158662921
345	0.09141555045
346	0.09115351494
347	0.09094094633
348	0.0908735387
349	0.09070401103
350	0.09067697004
351	0.09061002851
352	0.09055824643
353	0.09031858334
354	0.09014046735
355	0.09002625948
356	0.08989472979
357	0.08969331683
358	0.08951079207
359	0.08935313829
360	0.08919759339
361	0.08914169289
362	0.08895087015
363	0.08880479227
364	0.08870596544
365	0.08851436334
366	0.08833286245
367	0.08824323521
368	0.08815842171
369	0.08791495348
370	0.08771482419
371	0.08759555043
372	0.08737358357
373	0.08726462496
374	0.0872374388
375	0.08694328877
376	0.08676726638
377	0.08652922316
378	0.08633212728
379	0.08624903297
380	0.08611186433
381	0.08593466524
382	0.08560700242
383	0.08541769258
384	0.08526224701
385	0.08518528831
386	0.08514466952
387	0.08492827284
388	0.08482998851
389	0.08471074532
390	0.08457611344
391	0.08438025538
392	0.0841663649
393	0.08401312754
394	0.08390321383
395	0.0837653193
396	0.0836711916
397	0.08361199025
398	0.08351855023
399	0.08334296336
400	0.08315567834
401	0.08298264352
402	0.08285608039
403	0.08270087168
404	0.08253012912
405	0.08246275969
406	0.08220851785
407	0.08204167213
408	0.08200096165
409	0.08191695808
410	0.08188184071
411	0.08165007063
412	0.08147436915
413	0.0813103811
414	0.08119280361
415	0.08110976279
416	0.08104716126
417	0.0808680596
418	0.08073820325
419	0.08058207
420	0.08052031661
421	0.08036006494
422	0.08017333006
423	0.0799791912
424	0.07989341495
425	0.07978978202
426	0.07962270707
427	0.0794951277
428	0.07929938426
429	0.0791344029
430	0.07900412631
431	0.07887027379
432	0.07864165939
433	0.07854574373
434	0.07837160098
435	0.07814051094
436	0.07796952387
437	0.07787850599
438	0.07775979001
439	0.07770180356
440	0.0775905527
441	0.07739346446
442	0.07721038192
443	0.07709076432
444	0.07691863112
445	0.07681440221
446	0.07676057238
447	0.07667917434
448	0.07658856143
449	0.07652184912
450	0.07631213055
451	0.07614682063
452	0.0760563147
453	0.0758554366
454	0.07572347138
455	0.07564684123
456	0.07555550244
457	0.07542065662
458	0.07529271813
459	0.07526315566
460	0.07515614547
461	0.07510311793
462	0.07496825683
463	0.07483964594
464	0.07471737697
465	0.07470429582
466	0.07457465342
467	0.07444961846
468	0.07440377332
469	0.07435471139
470	0.07426966866
471	0.07411901391
472	0.07400197892
473	0.07398481756
474	0.0739194424
475	0.0737243255
476	0.07360354649
477	0.07350866999
478	0.07340044491
479	0.07331043562
480	0.073128461
481	0.07311493669
482	0.07299243849
483	0.07284990596
484	0.07282013719
485	0.07273017375
486	0.07263881204
487	0.07253916764
488	0.07235572597
489	0.07222763466
490	0.07208135048
491	0.07190601576
492	0.07183677433
493	0.07169554075
494	0.07150098928
495	0.07132336994
496	0.07114447459
497	0.07108205643
498	0.07089050782
499	0.07072043001
500	0.07059588406
501	0.07053579637
502	0.07041155605
503	0.07033604912
504	0.07019895688
505	0.07011919399
506	0.06999881231
507	0.06993041136
508	0.06985430844
509	0.06979765914
510	0.06968803578
511	0.06966794797
512	0.06948117489
513	0.06932174843
514	0.06922968376
515	0.06916591318
516	0.06898237982
517	0.0688491997
518	0.06883595046
519	0.06870030235
520	0.06855811366
521	0.06841371677
522	0.06821046236
523	0.06807279706
524	0.06798316982
525	0.06788057605
526	0.06775446373
527	0.06764483273
528	0.06748281602
529	0.06733546212
530	0.06722252263
